,원자재코드,"생산작업지시구분(생산:A,생산제외:D)",작업지시타입(일반:WO/재투입:WR),"사업단위(평택:20000,태안:60000등)",생산작업요청일자,LOT번호,분할순번,제품코드,제품BOM차수,원자재투입순번,원자재명,원자재탱크번호,투입지시중량,투입지시비율,투입지시오차비율,투입지시단위,시방원재료적요,추가투입량(생산자판단),정지중량(유속흐름제어),스텝그룹넘버,비고
91,SR68222,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,2,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
92,SR11002,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,1,사용수,30,2915.0,58.3,0,KG,재활용수400KG,10.0,60.0,1,
93,SR13801,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,3,액상리그닌,0,5.0,0.1,0,KG,,0.0,0.0,1,
94,SR16600,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,6,RA-300S,1,200.0,4.0,0,KG,,0.0,5.0,1,
95,SR35224,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,4,WRE-770,18,900.0,18.0,0,KG,,0.0,20.0,1,
96,SR35903,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,7,PCA3000,10,350.0,7.0,0,KG,마지막투입,0.0,20.0,1,
97,SR35904,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,5,Urea-20%,4,625.0,12.5,0,KG,,0.0,25.0,1,
98,SR68222,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,2,소포제(MR-130),0,5.0,0.1,0,KG,,0.0,0.0,1,
99,SR11002,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,1,사용수,30,6930.0,69.3,0,KG,재활용수800kg적용,20.0,45.0,1,
100,SR13801,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,3,액상리그닌,0,10.0,0.1,0,KG,,0.0,0.0,1,
101,SR16002,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,4,글루콘산소다,2,300.0,3.0,0,KG,,0.0,35.0,1,
102,SR16600,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,8,RA-300S,1,250.0,2.5,0,KG,,0.0,5.0,1,
103,SR35224,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,5,WRE-770,18,1200.0,12.0,0,KG,,0.0,20.0,1,
104,SR35228,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,6,SRE-200SD-T,14,400.0,4.0,0,KG,,0.0,10.0,1,
105,SR35903,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,9,PCA3000,10,550.0,5.5,0,KG,마지막투입요망,0.0,25.0,1,
106,SR35904,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,7,Urea-20%,4,350.0,3.5,0,KG,,0.0,35.0,1,
107,SR68222,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,2,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
108,SR11002,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,1,사용수,30,6842.0,68.42,0,KG,재활용수800KG,20.0,45.0,1,
109,SR13801,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,3,액상리그닌,0,10.0,0.1,0,KG,,0.0,0.0,1,
110,SR16002,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,4,글루콘산소다,2,400.0,4.0,0,KG,,0.0,35.0,1,
111,SR16600,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,8,RA-300S,1,260.0,2.6,0,KG,,0.0,5.0,1,
112,SR35224,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,5,WRE-770,18,100.0,1.0,0,KG,,0.0,20.0,1,
113,SR35225,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,6,WRE-550T,21,1428.0,14.28,0,KG,,0.0,15.0,1,
114,SR35758,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,10,M30,7,100.0,1.0,0,KG,마지막투입,0.0,30.0,1,
115,SR35903,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,9,PCA3000,10,600.0,6.0,0,KG,,0.0,30.0,1,
116,SR35904,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,7,Urea-20%,4,250.0,2.5,0,KG,,0.0,40.0,1,
117,SR68222,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,2,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
118,SR11002,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,1,사용수,30,2730.0,54.6,0,KG,재활용수400kg,10.0,45.0,1,
119,SR13801,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,2,액상리그닌,0,5.0,0.1,0,KG,,0.0,0.0,1,
120,SR16600,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,6,RA-300S,1,225.0,4.5,0,KG,,0.0,5.0,1,
121,SR35224,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,4,WRE-770,18,575.0,11.5,0,KG,,0.0,20.0,1,
122,SR35903,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,7,PCA3000,10,360.0,7.2,0,KG,마지막투입,0.0,30.0,1,
123,SR35904,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,5,Urea-20%,4,1100.0,22.0,0,KG,,0.0,40.0,1,
124,SR68222,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,3,소포제(MR-130),0,5.0,0.1,0,KG,,0.0,0.0,1,
125,SR11002,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,1,사용수,30,4882.5,69.75,0,KG,재활용수560kg적용,14.0,45.0,1,
126,SR13801,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,2,액상리그닌,0,7.0,0.1,0,KG,,0.0,0.0,1,
127,SR16600,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,6,RA-300S,1,59.5,0.85,0,KG,,0.0,5.0,1,
128,SR35224,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,4,WRE-770,18,1190.0,17.0,0,KG,,0.0,20.0,1,
129,SR35903,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,7,PCA3000,10,350.0,5.0,0,KG,마지막투입,0.0,25.0,1,
130,SR35904,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,5,Urea-20%,4,504.0,7.2,0,KG,,0.0,35.0,1,
131,SR68222,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,3,소포제(MR-130),0,7.0,0.1,0,KG,,0.0,0.0,1,
132,SR11002,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,1,사용수,30,6021.0,66.9,0,KG,재활용수720kg적용,9.0,60.0,1,
133,SR13801,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,2,액상리그닌,0,450.0,5.0,0,KG,,0.0,0.0,1,
134,SR16600,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,5,RA-300S,1,360.0,4.0,0,KG,,0.0,5.0,1,
135,SR35224,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,4,WRE-770,18,1800.0,20.0,0,KG,,0.0,20.0,1,
136,SR35903,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,6,PCA3000,10,360.0,4.0,0,KG,마지막투입,0.0,20.0,1,
137,SR68222,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,3,소포제(MR-130),0,9.0,0.1,0,KG,,0.0,0.0,1,
138,SR11002,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,1,사용수,30,6675.0,66.75,0,KG,재활용수800kg,15.0,60.0,1,
139,SR13801,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,3,액상리그닌,0,5.0,0.05,0,KG,,0.0,0.0,1,
140,SR16600,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,7,RA-300S,1,30.0,0.3,0,KG,,0.0,5.0,1,
141,SR35224,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,4,WRE-770,18,1312.0,13.12,0,KG,,0.0,20.0,1,
142,SR35225,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,5,WRE-550T,21,1312.0,13.12,0,KG,,0.0,15.0,1,
143,SR35228,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,6,SRE-200SD-T,14,656.0,6.56,0,KG,,0.0,10.0,1,
144,SR68222,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,2,소포제(MR-130),0,10.0,0.1,0,KG,,0.0,0.0,1,
145,SR11002,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,1,사용수,30,4833.5,69.05,0,KG,재활용수560KG,10.5,60.0,1,
146,SR13801,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,3,액상리그닌,0,3.5,0.05,0,KG,,0.0,0.0,1,
147,SR16600,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,6,RA-300S,1,140.0,2.0,0,KG,,0.0,5.0,1,
148,SR35224,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,4,WRE-770,18,1612.8,23.04,0,KG,,0.0,20.0,1,
149,SR35228,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,5,SRE-200SD-T,14,403.2,5.76,0,KG,,0.0,10.0,1,
150,SR68222,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,2,소포제(MR-130),0,7.0,0.1,0,KG,,0.0,0.0,1,
151,SR11002,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,1,사용수,30,6912.0,57.6,0,KG,재활용수960kg적용,18.0,60.0,1,
152,SR13801,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,2,액상리그닌,0,6.0,0.05,0,KG,,0.0,0.0,1,
153,SR16600,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,6,RA-300S,1,282.0,2.35,0,KG,,0.0,5.0,1,
154,SR35224,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,4,WRE-770,18,1968.0,16.4,0,KG,,0.0,20.0,1,
155,SR35903,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,7,PCA3000,10,720.0,6.0,0,KG,마지막 투입해주세요,0.0,30.0,1,
156,SR35904,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,5,Urea-20%,4,2100.0,17.5,0,KG,,0.0,40.0,1,
157,SR68222,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,3,소포제(MR-130),0,12.0,0.1,0,KG,,0.0,0.0,1,
158,SR11002,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,1,사용수,30,2715.0,54.3,0,KG,재활용수400KG,10.0,45.0,1,
159,SR13801,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,2,액상리그닌,0,5.0,0.1,0,KG,,0.0,0.0,1,
160,SR16600,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,6,RA-300S,1,275.0,5.5,0,KG,,0.0,5.0,1,
161,SR35224,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,4,WRE-770,18,600.0,12.0,0,KG,,0.0,20.0,1,
162,SR35903,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,7,PCA3000,10,350.0,7.0,0,KG,마지막투입,0.0,30.0,1,
163,SR35904,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,5,Urea-20%,4,1050.0,21.0,0,KG,,0.0,40.0,1,
164,SR68222,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,3,소포제(MR-130),0,5.0,0.1,0,KG,,0.0,0.0,1,
165,SR35218,A,WO,20000,2021-02-22,PEMA210223,0,PCA021027605,4,1,WRE-580FX(55%),16,10345.5,85.5,0,KG,,0.0,0.0,1,
166,SR35904,A,WO,20000,2021-02-22,PEMA210223,0,PCA021027605,4,2,Urea-20%,4,1754.5,14.5,0,KG,,0.0,0.0,1,
167,SR11002,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,1,사용수,30,2107.2,70.24,0,KG,,4.5,60.0,1,
168,SR13801,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,2,액상리그닌,0,1.5,0.05,0,KG,,0.0,0.0,1,
169,SR35218,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,4,WRE-580FX(55%),16,294.6,9.82,0,KG,,0.0,15.0,1,
170,SR35225,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,5,WRE-550T,21,323.7,10.79,0,KG,,0.0,15.0,1,
171,SR35758,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,6,M30,7,270.0,9.0,0,KG,마지막투입,0.0,30.0,1,
172,SR38117,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,3,PC소포제,0,3.0,0.1,0,KG,,0.0,0.0,1,
