,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명
1563,2004600,PEMA553048200,10000,2597,25970000,2020-12-19,2020-12-22,CSA5000
1564,2004600,PEMA553048200,10000,2597,25970000,2020-12-29,2021-01-01,CSA5000
1565,2005400,PEMA013111300,10000,1043,10430000,2020-01-02,2020-01-05,CSA5000
1566,2001600,PEMA013111300,5000,1218,6090000,2020-01-12,2020-01-15,CSA5000
1567,2001800,PEMA013111300,10000,1433,14330000,2020-01-20,2020-01-23,CSA5000
1568,2001400,PEMA013111300,10000,1926,19260000,2020-02-05,2020-02-07,CSA5000
1569,2004200,PEMA013111300,10000,2451,24510000,2020-02-21,2020-02-24,CSA5000
1570,2005400,PEMA013111300,10000,1043,10430000,2020-02-23,2020-02-26,CSA5000
1596,2005500,PEMA023035315,8000,1044,8352000,2020-01-02,2020-01-05,CSA5000
1597,2007600,PEMA023035315,8000,1281,10248000,2020-01-14,2020-01-17,CSA5000
1598,2001300,PEMA023035315,8000,1428,11424000,2020-01-19,2020-01-22,CSA5000
1599,2003800,PEMA023035315,8000,1594,12752000,2020-01-26,2020-01-29,CSA5000
1600,2002900,PEMA023035315,8000,1798,14384000,2020-02-02,2020-02-05,CSA5000
1601,2006612,PEMA023035315,8000,2052,16416000,2020-02-07,2020-02-10,CSA5000
1602,2004200,PEMA023035315,8000,2309,18472000,2020-02-15,2020-02-18,CSA5000
1603,2004500,PEMA023035315,8000,2454,19632000,2020-02-21,2020-02-24,CSA5000
1604,2005500,PEMA023035315,8000,1044,8352000,2020-02-23,2020-02-26,CSA5000
1646,2004200,PEMA023035315,8000,2309,18472000,2020-12-08,2020-12-11,CSA5000
1650,2005600,PEMA023035315,8000,2678,21424000,2020-12-31,2021-01-03,CSA5000
1651,2005600,PEMA023001000,10000,1045,10450000,2020-01-02,2020-01-05,CSA5000
1652,2001700,PEMA023001000,10000,1219,12190000,2020-01-12,2020-01-15,CSA5000
1653,2004800,PEMA023001000,7000,1321,9247000,2020-01-17,2020-01-20,CSA5000
1654,2004200,PEMA023001000,7000,1599,11193000,2020-01-26,2020-01-29,CSA5000
1656,2006400,PEMA023001000,7000,1976,13832000,2020-02-07,2020-02-08,CSA5000
1657,2006600,PEMA023001000,7000,1978,13846000,2020-02-07,2020-02-08,CSA5000
1658,2003700,PEMA023001000,7000,2161,15127000,2020-02-11,2020-02-14,CSA5000
1659,2004300,PEMA023001000,10000,2310,23100000,2020-02-15,2020-02-18,CSA5000
1660,2004300,PEMA023001000,10000,2452,24520000,2020-02-21,2020-02-24,CSA5000
1661,2005600,PEMA023001000,10000,1045,10450000,2020-02-23,2020-02-26,CSA5000
1708,2003700,PEMA023001000,7000,2161,15127000,2020-12-04,2020-12-07,CSA5000
1709,2004300,PEMA023001000,10000,2310,23100000,2020-12-08,2020-12-11,CSA5000
1712,2005700,PEMA013039505,7000,1046,7322000,2020-01-02,2020-01-05,PEMA-HR1000
1713,2005200,PEMA013039505,7000,2035,14245000,2020-02-07,2020-02-09,PEMA-HR1000
1714,2006000,PEMA013039505,7000,2469,17283000,2020-02-21,2020-02-24,PEMA-HR1000
1715,2005700,PEMA013039505,7000,1046,7322000,2020-02-23,2020-02-26,PEMA-HR1000
1734,2005700,PEMA013039505,7000,2608,18256000,2020-12-19,2020-12-22,PEMA-HR1000
1736,2005700,PEMA013039505,7000,2608,18256000,2020-12-29,2021-01-01,PEMA-HR1000
1737,2005800,PEMA013049304,10000,1047,10470000,2020-01-01,2020-01-04,PEMA-HR1000
1738,2005800,PEMA013049304,10000,1047,10470000,2020-02-22,2020-02-25,PEMA-HR1000
1743,2005900,PEMA013010100,10000,1048,10480000,2020-01-01,2020-01-04,PEMA-HR1000
1744,2003700,PEMA013010100,10000,1167,11670000,2020-01-05,2020-01-11,PEMA-HR1000
1745,2001700,PEMA013010100,10000,2142,21420000,2020-02-08,2020-02-11,PEMA-HR1000
1746,2005900,PEMA013010100,10000,1048,10480000,2020-02-22,2020-02-25,PEMA-HR1000
1747,2003700,PEMA013010100,10000,1167,11670000,2020-02-26,2020-03-01,PEMA-HR1000
1760,2001700,PEMA013010100,10000,2142,21420000,2020-12-01,2020-12-04,PEMA-HR1000
1761,2006000,PEMA013041507,7000,1049,7343000,2020-01-01,2020-01-04,PEMA-HR1000
1763,2005600,PEMA013041507,7000,1400,9800000,2020-01-19,2020-01-22,PEMA-HR1000
1764,2007800,PEMA013041507,7000,1567,10969000,2020-01-25,2020-01-28,PEMA-HR1000
1765,2004600,PEMA013041507,7000,1816,12712000,2020-02-02,2020-02-05,PEMA-HR1000
1766,2007100,PEMA013041507,7000,1986,13902000,2020-02-07,2020-02-08,PEMA-HR1000
1767,2002000,PEMA013041507,7000,2144,15008000,2020-02-09,2020-02-12,PEMA-HR1000
1768,2004400,PEMA013041507,7000,2240,15680000,2020-02-13,2020-02-16,PEMA-HR1000
1769,2006000,PEMA013041507,7000,1049,7343000,2020-02-22,2020-02-25,PEMA-HR1000
1770,2007200,PEMA013041507,7000,1135,7945000,2020-02-25,2020-02-28,PEMA-HR1000
1819,2002000,PEMA013041507,7000,2144,15008000,2020-12-02,2020-12-05,PEMA-HR1000
1820,2004400,PEMA013041507,7000,2240,15680000,2020-12-06,2020-12-09,PEMA-HR1000
1821,2002000,PEMA013041507,7000,2570,17990000,2020-12-18,2020-12-21,PEMA-HR1000
1824,2002000,PEMA013041507,7000,2570,17990000,2020-12-28,2020-12-31,PEMA-HR1000
1826,2006900,PEMA013041507,7000,2694,18858000,2020-12-31,2021-01-03,PEMA-HR1000
1827,2006100,PEMA013099140,3000,1050,3150000,2020-01-01,2020-01-04,PEMA-HR1000
1828,2006200,PEMA013099140,7000,1051,7357000,2020-01-02,2020-01-05,PEMA-HR1000
1829,2002300,PEMA013099140,10000,1437,14370000,2020-01-20,2020-01-23,PEMA-HR1000
1830,2001300,PEMA013099140,10000,2067,20670000,2020-02-07,2020-02-10,PEMA-HR1000
1831,2006100,PEMA013099140,3000,1050,3150000,2020-02-22,2020-02-25,PEMA-HR1000
1832,2006200,PEMA013099140,7000,1051,7357000,2020-02-23,2020-02-26,PEMA-HR1000
1851,2006300,PEMA033088300,10000,1052,10520000,2020-01-01,2020-01-04,PEMA-HR1000
1858,2002500,PEMA033088300,7000,1510,10570000,2020-01-22,2020-01-25,PEMA-HR1000
1859,2002600,PEMA033088300,5000,1511,7555000,2020-01-22,2020-01-25,PEMA-HR1000
1860,2001102,PEMA033088300,7000,1568,10976000,2020-01-25,2020-01-28,PEMA-HR1000
1863,2004104,PEMA033088300,7000,1811,12677000,2020-02-02,2020-02-05,PEMA-HR1000
1864,2001500,PEMA033088300,7000,1927,13489000,2020-02-05,2020-02-07,PEMA-HR1000
1865,2001600,PEMA033088300,10000,1928,19280000,2020-02-05,2020-02-07,PEMA-HR1000
1866,2005100,PEMA033088300,7000,2034,14238000,2020-02-07,2020-02-09,PEMA-HR1000
1867,2001700,PEMA033088300,7000,2213,15491000,2020-02-12,2020-02-15,PEMA-HR1000
1868,2001800,PEMA033088300,5000,2214,11070000,2020-02-12,2020-02-15,PEMA-HR1000
1872,2005200,PEMA033088300,7000,2461,17227000,2020-02-21,2020-02-24,PEMA-HR1000
1873,2005300,PEMA033088300,5000,2462,12310000,2020-02-21,2020-02-24,PEMA-HR1000
1874,2006300,PEMA033088300,10000,1052,10520000,2020-02-22,2020-02-25,PEMA-HR1000
1875,2006900,PEMA033088300,5000,1132,5660000,2020-02-25,2020-02-28,PEMA-HR1000
1876,2007000,PEMA033088300,7000,1133,7931000,2020-02-25,2020-02-28,PEMA-HR1000
1994,2001700,PEMA033088300,7000,2213,15491000,2020-12-05,2020-12-08,PEMA-HR1000
1995,2001800,PEMA033088300,5000,2214,11070000,2020-12-05,2020-12-08,PEMA-HR1000
2001,2005900,PEMA033088300,7000,2610,18270000,2020-12-19,2020-12-22,PEMA-HR1000
2002,2006100,PEMA033088300,5000,2612,13060000,2020-12-19,2020-12-22,PEMA-HR1000
2006,2005900,PEMA033088300,7000,2610,18270000,2020-12-29,2021-01-01,PEMA-HR1000
2007,2006100,PEMA033088300,5000,2612,13060000,2020-12-29,2021-01-01,PEMA-HR1000
2008,2007200,PEMA033088300,7000,2697,18879000,2020-12-31,2021-01-03,PEMA-HR1000
2009,2006400,PEMA623022500,10000,1053,10530000,2020-01-02,2020-01-05,PEMA-HR1000
2011,2005400,PEMA623022500,10000,2108,21080000,2020-02-08,2020-02-11,PEMA-HR1000
2013,2006400,PEMA623022500,10000,1053,10530000,2020-02-23,2020-02-26,PEMA-HR1000
