,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자
158,2002800,PEMA023058600,15000,1158,17370000,2020-01-05,2020-01-11
159,2002900,PEMA043090700,15000,1159,17385000,2020-01-05,2020-01-11
160,2003000,PEMA013072700,10000,1160,11600000,2020-01-05,2020-01-11
161,2003100,PEMA003039101,10000,1161,11610000,2020-01-05,2020-01-11
162,2003200,PEMA033035307,7000,1162,8134000,2020-01-05,2020-01-11
163,2003300,PEMA023105210,15000,1163,17445000,2020-01-05,2020-01-11
164,2003400,PEMA043080115,6000,1164,6984000,2020-01-05,2020-01-11
165,2003500,PEMA083017000,14000,1165,16310000,2020-01-05,2020-01-11
166,2003600,PEMA023024802,10000,1166,11660000,2020-01-05,2020-01-11
167,2003700,PEMA013010100,10000,1167,11670000,2020-01-05,2020-01-11
168,2003800,PEMA063041501,7000,1168,8176000,2020-01-05,2020-01-11
169,2003900,PEMA013047000,10000,1169,11690000,2020-01-05,2020-01-11
170,2004000,PEMA013004500,10000,1170,11700000,2020-01-05,2020-01-11
171,2004100,PEMA013032302,7000,1171,8197000,2020-01-05,2020-01-11
172,2004104,PEMA033041500,10000,1172,11720000,2020-01-05,2020-01-11
173,2004200,PEMA043031600,8000,1173,9384000,2020-01-05,2020-01-11
174,2004300,PCA031024602,39600,1174,46490400,2020-01-05,2020-01-11
175,2004400,PEMA023045801,3000,1175,3525000,2020-01-05,2020-01-11
176,2004500,PEMA023045801,22000,1176,25872000,2020-01-05,2020-01-11
177,2004600,PEMA023901510,10000,1177,11770000,2020-01-05,2020-01-11
178,2004700,TSN4012039105,10000,1178,11780000,2020-01-05,2020-01-11
179,2004800,PEMA033049301,5000,1179,5895000,2020-01-05,2020-01-11
180,2004901,PEMA03087900,6000,1180,7080000,2020-01-05,2020-01-11
181,2005000,PEMA063023200,5000,1181,5905000,2020-01-05,2020-01-11
182,2005100,PEMA053103800,7000,1182,8274000,2020-01-05,2020-01-11
183,2005200,PEMA533022500,5000,1183,5915000,2020-01-05,2020-01-11
184,2005300,PEMA023035303,5000,1184,5920000,2020-01-05,2020-01-11
185,2005400,SSA013048200,6000,1185,7110000,2020-01-07,2020-01-13
186,2005500,PEMA023092200,10000,1186,11860000,2020-01-07,2020-01-13
187,2005600,PEMA013049402,20000,1187,23740000,2020-01-07,2020-01-13
188,2005700,SSA073046500,1000,1188,1188000,2020-01-11,2020-01-14
189,2005800,SSA013035303,4000,1189,4756000,2020-01-11,2020-01-14
190,2005900,PEMA073072100,10000,1190,11900000,2020-01-11,2020-01-14
191,2006000,PEMA033035307,8000,1191,9528000,2020-01-11,2020-01-14
192,2006100,PEMA033035303,12000,1192,14304000,2020-01-11,2020-01-14
193,2006200,PEMA033120700,10000,1193,11930000,2020-01-11,2020-01-14
194,2006300,PEMA073022500,10000,1194,11940000,2020-01-11,2020-01-14
195,2006400,PEMA033046500,15000,1195,17925000,2020-01-11,2020-01-14
196,2006500,PEMA013058606,7000,1196,8372000,2020-01-11,2020-01-14
197,2006600,PEMA013060100,10000,1197,11970000,2020-01-11,2020-01-14
198,2006606,PEMA023111400,10000,1198,11980000,2020-01-11,2020-01-14
199,2006609,PEMA043041502,10000,1199,11990000,2020-01-11,2020-01-14
200,2006612,PEMA13031400,10000,1200,12000000,2020-01-11,2020-01-14
201,2006700,PEMA063041501,10000,1201,12010000,2020-01-11,2020-01-14
202,2006800,PEMA033009000,10000,1202,12020000,2020-01-11,2020-01-14
203,2006900,PEMA013072100,8000,1203,9624000,2020-01-11,2020-01-14
204,2007000,PEMA023024801,8000,1204,9632000,2020-01-11,2020-01-14
205,2007100,PEMA023033600,10000,1205,12050000,2020-01-11,2020-01-14
206,2007200,PEMA023074700,10000,1206,12060000,2020-01-11,2020-01-14
207,2007302,PEMA043101200,10000,1207,12070000,2020-01-11,2020-01-14
208,2007400,PEMA043001100,3000,1208,3624000,2020-01-11,2020-01-14
209,2007500,PEMA013066700,10000,1209,12090000,2020-01-11,2020-01-14
210,2007600,PEMA053046500,5000,1210,6050000,2020-01-11,2020-01-14
211,2007700,PEMA063061300,3000,1211,3633000,2020-01-11,2020-01-14
212,2007800,PEMA073061300,3000,1212,3636000,2020-01-11,2020-01-14
213,2001102,PEMA013024804,20000,1213,24260000,2020-01-11,2020-01-14
214,2001200,PEMA063009000,5000,1214,6070000,2020-01-11,2020-01-14
215,2001300,PEMA043091500,10000,1215,12150000,2020-01-11,2020-01-14
216,2001400,PEMA063031400,5000,1216,6080000,2020-01-11,2020-01-14
217,2001500,PEMA013021700,10000,1217,12170000,2020-01-12,2020-01-15
218,2001600,PEMA013111300,5000,1218,6090000,2020-01-12,2020-01-15
219,2001700,PEMA023001000,10000,1219,12190000,2020-01-12,2020-01-15
220,2001800,PEMA013128700,10000,1220,12200000,2020-01-12,2020-01-15
221,2002000,PEMA023106900,10000,1221,12210000,2020-01-12,2020-01-15
222,2002100,PEMA013085300,10000,1222,12220000,2020-01-12,2020-01-15
223,2002200,PEMA013105210,10000,1223,12230000,2020-01-12,2020-01-15
224,2002300,PEMA013049303,7000,1224,8568000,2020-01-12,2020-01-15
225,2002400,PEMA013078800,6000,1225,7350000,2020-01-12,2020-01-15
226,2002500,PEMA013023013,5000,1226,6130000,2020-01-12,2020-01-15
227,2002600,PEMA013032200,10000,1227,12270000,2020-01-12,2020-01-15
228,2002700,PEMA013121600,10000,1228,12280000,2020-01-12,2020-01-15
229,2002800,PEMA023058605,8000,1229,9832000,2020-01-12,2020-01-15
230,2002900,PEMA033041500,10000,1230,12300000,2020-01-12,2020-01-15
231,2003000,PEMA033078012,10000,1231,12310000,2020-01-12,2020-01-15
232,2003100,PEMA013120100,10000,1232,12320000,2020-01-12,2020-01-15
233,2003200,PEMA053114500,7000,1233,8631000,2020-01-12,2020-01-15
234,2003300,PEMA023129801,22000,1234,27148000,2020-01-12,2020-01-15
235,2003400,PEMA023129801,3000,1235,3705000,2020-01-12,2020-01-15
236,2003500,PEMA013129800,3000,1236,3708000,2020-01-12,2020-01-15
237,2003600,PEMA013129800,22000,1237,27214000,2020-01-12,2020-01-15
238,2003700,PEMA023024804,10000,1238,12380000,2020-01-12,2020-01-15
239,2003800,PEMA043110500,4000,1239,4956000,2020-01-12,2020-01-15
240,2003900,PEMA043110500,4000,1240,4960000,2020-01-12,2020-01-15
241,2004000,PEMA373048200,10000,1241,12410000,2020-01-12,2020-01-15
242,2004100,PEMA053021700,10000,1242,12420000,2020-01-12,2020-01-15
243,2004104,PEMA023080100,6000,1243,7458000,2020-01-12,2020-01-15
244,2004200,PEMA033088300,7000,1244,8708000,2020-01-13,2020-01-16
245,2004300,PEMA013118900,15000,1245,18675000,2020-01-13,2020-01-16
246,2004400,PEMA013107101,10000,1246,12460000,2020-01-13,2020-01-16
247,2004500,PEMA023098200,20000,1247,24940000,2020-01-13,2020-01-16
248,2004600,PEMA033035303,7000,1248,8736000,2020-01-13,2020-01-16
249,2004700,PEMA063069401,10000,1249,12490000,2020-01-13,2020-01-16
250,2004800,PEMA033035309,7000,1250,8750000,2020-01-13,2020-01-16
251,2004901,PEMA023007400,10000,1251,12510000,2020-01-13,2020-01-16
252,2005000,PEMA043042900,7000,1252,8764000,2020-01-13,2020-01-16
253,2005100,PEMA013072700,10000,1253,12530000,2020-01-13,2020-01-16
254,2005200,PEMA033035303,13000,1254,16302000,2020-01-13,2020-01-16
255,2005300,PEMA013017200,10000,1255,12550000,2020-01-13,2020-01-16
256,2005400,PEMA053013600,10000,1256,12560000,2020-01-13,2020-01-16
257,2005500,PEMA013023005,7000,1257,8799000,2020-01-13,2020-01-16
258,2005600,PEMA063041501,10000,1258,12580000,2020-01-13,2020-01-16
259,2005700,PEMA013127700,10000,1259,12590000,2020-01-13,2020-01-16
260,2005800,PEMA023123200,7000,1260,8820000,2020-01-13,2020-01-16
261,2005900,PEMA033088300,5000,1261,6305000,2020-01-13,2020-01-16
262,2006000,PEMA023099800,10000,1262,12620000,2020-01-13,2020-01-16
263,2006100,PEMA023087900,10000,1263,12630000,2020-01-13,2020-01-16
264,2006200,PEMA013030801,10000,1264,12640000,2020-01-13,2020-01-16
265,2006300,PEMA013123501,5000,1265,6325000,2020-01-13,2020-01-16
266,2006400,PEMA093050413,14000,1266,17724000,2020-01-12,2020-01-15
267,2006500,PEMA013033302,15000,1267,19005000,2020-01-13,2020-01-16
268,2006600,PEMA013033302,10000,1268,12680000,2020-01-13,2020-01-16
269,2006606,TSN4012001215,10000,1269,12690000,2020-01-13,2020-01-16
270,2006609,TSN4012015714,8000,1270,10160000,2020-01-13,2020-01-16
271,2006612,PEMA043062000,6000,1271,7626000,2020-01-13,2020-01-16
272,2006700,PEMA033072700,3000,1272,3816000,2020-01-13,2020-01-16
273,2006800,PEMA013116420,5000,1273,6365000,2020-01-13,2020-01-16
274,2006900,PEMA013042200,7000,1274,8918000,2020-01-13,2020-01-16
275,2007000,PEMA013072101,10000,1275,12750000,2020-01-13,2020-01-16
276,2007100,PEMA023058600,23000,1276,29348000,2020-01-14,2020-01-17
277,2007200,PEMA023058600,2000,1277,2554000,2020-01-14,2020-01-17
278,2007302,PEMA043090700,15000,1278,19170000,2020-01-14,2020-01-17
279,2007400,SSA013035307,1000,1279,1279000,2020-01-14,2020-01-17
280,2007500,PEMA013046500,10000,1280,12800000,2020-01-14,2020-01-17
281,2007600,PEMA023035315,8000,1281,10248000,2020-01-14,2020-01-17
282,2007700,PEMA043069403,10000,1282,12820000,2020-01-14,2020-01-17
283,2007800,PEMA033035307,3000,1283,3849000,2020-01-14,2020-01-17
284,2001102,PEMA033035307,5000,1284,6420000,2020-01-14,2020-01-17
285,2001200,PEMA023039000,10000,1285,12850000,2020-01-14,2020-01-17
286,2001300,PEMA013117801,7000,1286,9002000,2020-01-14,2020-01-17
287,2001400,PEMA013013010,10000,1287,12870000,2020-01-14,2020-01-17
288,2001500,PEMA363048300,6000,1288,7728000,2020-01-14,2020-01-17
289,2001600,PEMA093001100,8000,1289,10312000,2020-01-14,2020-01-17
290,2001700,PEMA093001100,2000,1290,2580000,2020-01-14,2020-01-17
291,2001800,PEMA033028900,10000,1291,12910000,2020-01-14,2020-01-17
292,2002000,PEMA013019701,10000,1292,12920000,2020-01-14,2020-01-17
293,2002100,PEMA013037300,5000,1293,6465000,2020-01-14,2020-01-17
294,2002200,PEMA013037300,5000,1294,6470000,2020-01-14,2020-01-17
295,2002300,PEMA013050400,7000,1295,9065000,2020-01-14,2020-01-17
296,2002400,PEMA023041503,10000,1296,12960000,2020-01-14,2020-01-17
297,2002500,PEMA033027400,10000,1297,12970000,2020-01-14,2020-01-17
298,2002600,PEMA033002600,5000,1298,6490000,2020-01-14,2020-01-17
299,2002700,PEMA013041301,15000,1299,19485000,2020-01-14,2020-01-17
300,2002800,PEMA053046500,5000,1300,6500000,2020-01-14,2020-01-17
301,2002900,TSN4012032804,7000,1301,9107000,2020-01-14,2020-01-17
302,2003000,TSN4012039101,3000,1302,3906000,2020-01-14,2020-01-17
303,2003100,PEMA013061400,5000,1303,6515000,2020-01-14,2020-01-17
304,2003200,PEMA043037801,2000,1304,2608000,2020-01-14,2020-01-17
305,2003300,PEMA033109400,5000,1305,6525000,2020-01-14,2020-01-17
306,2003400,PEMA023058600,21000,1306,27426000,2020-01-15,2020-01-18
307,2003500,PEMA033035303,8000,1307,10456000,2020-01-15,2020-01-18
308,2003600,PEMA023076910,10000,1308,13080000,2020-01-15,2020-01-18
309,2003700,PEMA023109400,10000,1309,13090000,2020-01-15,2020-01-18
310,2003800,PEMA013119500,10000,1310,13100000,2020-01-15,2020-01-18
311,2003900,PEMA013120100,10000,1311,13110000,2020-01-15,2020-01-18
312,2004000,PEMA013035322,7000,1312,9184000,2020-01-15,2020-01-18
313,2004100,PEMA013901600,15000,1313,19695000,2020-01-15,2020-01-18
314,2004104,PEMA023024804,10000,1314,13140000,2020-01-15,2020-01-18
315,2004200,PEMA053062006,7000,1315,9205000,2020-01-15,2020-01-18
316,2004300,PEMA023013000,5000,1316,6580000,2020-01-15,2020-01-18
317,2004400,PEMA043072100,10000,1317,13170000,2020-01-15,2020-01-18
318,2004500,PEMA033074100,2000,1318,2636000,2020-01-17,2020-01-20
319,2004600,PEMA033074100,23000,1319,30337000,2020-01-17,2020-01-20
320,2004700,PEMA023123000,10000,1320,13200000,2020-01-17,2020-01-20
321,2004800,PEMA023001000,7000,1321,9247000,2020-01-17,2020-01-20
322,2004901,PEMA023024000,10000,1322,13220000,2020-01-17,2020-01-20
323,2005000,PEMA033109700,10000,1323,13230000,2020-01-17,2020-01-20
324,2005100,PEMA023104400,9000,1324,11916000,2020-01-17,2020-01-20
325,2005200,PEMA013122500,10000,1325,13250000,2020-01-17,2020-01-20
326,2005300,PEMA013119000,8000,1326,10608000,2020-01-17,2020-01-20
327,2005400,PEMA013043200,15000,1327,19905000,2020-01-17,2020-01-20
328,2005500,PEMA033041500,10000,1328,13280000,2020-01-17,2020-01-20
329,2005600,PEMA013026702,5000,1329,6645000,2020-01-17,2020-01-20
330,2005700,PEMA013026702,5000,1330,6650000,2020-01-17,2020-01-20
331,2005800,PEMA013128300,7000,1331,9317000,2020-01-17,2020-01-20
332,2005900,PEMA013122400,8000,1332,10656000,2020-01-17,2020-01-20
333,2006000,PEMA013122400,8000,1333,10664000,2020-01-17,2020-01-20
334,2006100,PEMA013122400,5000,1334,6670000,2020-01-17,2020-01-20
335,2006200,PEMA013010900,10000,1335,13350000,2020-01-17,2020-01-20
336,2006300,PEMA013104400,10000,1336,13360000,2020-01-17,2020-01-20
337,2006400,PEMA023024801,8000,1337,10696000,2020-01-17,2020-01-20
338,2006500,PEMA013004501,10000,1338,13380000,2020-01-17,2020-01-20
339,2006600,PEMA043023001,8000,1339,10712000,2020-01-17,2020-01-20
340,2006606,PEMA143057600,10000,1340,13400000,2020-01-17,2020-01-20
341,2006609,PEMA063061300,5000,1341,6705000,2020-01-17,2020-01-20
342,2006612,PEMA073061300,5000,1342,6710000,2020-01-17,2020-01-20
343,2006700,PEMA013129802,15000,1343,20145000,2020-01-17,2020-01-20
344,2006800,PEMA013129802,10000,1344,13440000,2020-01-17,2020-01-20
345,2006900,PEMA023901510,10000,1345,13450000,2020-01-17,2020-01-20
346,2007000,PEMA053048500,10000,1346,13460000,2020-01-17,2020-01-20
347,2007100,PEMA033023006,5000,1347,6735000,2020-01-17,2020-01-20
348,2007200,PEMA033103000,15000,1348,20220000,2020-01-18,2020-01-21
349,2007302,PEMA033101400,15000,1349,20235000,2020-01-18,2020-01-21
350,2007400,SSA013035303,3000,1350,4050000,2020-01-18,2020-01-21
351,2007500,SSA073046500,1000,1351,1351000,2020-01-18,2020-01-21
352,2007600,SSA013085300,7000,1352,9464000,2020-01-18,2020-01-21
353,2007700,PEMA033040300,10000,1353,13530000,2020-01-18,2020-01-21
354,2007800,PEMA013046500,10000,1354,13540000,2020-01-18,2020-01-21
355,2001102,PEMA033035303,5000,1355,6775000,2020-01-18,2020-01-21
356,2001200,PEMA043099300,10000,1356,13560000,2020-01-18,2020-01-21
357,2001300,PEMA013070800,10000,1357,13570000,2020-01-18,2020-01-21
358,2001400,PEMA033035307,8000,1358,10864000,2020-01-18,2020-01-21
359,2001500,PEMA033035303,10000,1359,13590000,2020-01-18,2020-01-21
360,2001600,PEMA033046500,10000,1360,13600000,2020-01-18,2020-01-21
361,2001700,PEMA013105210,9000,1361,12249000,2020-01-18,2020-01-21
362,2001800,PEMA013116100,10000,1362,13620000,2020-01-18,2020-01-21
363,2002000,PEMA023058200,9000,1363,12267000,2020-01-18,2020-01-21
364,2002100,PEMA023105100,10000,1364,13640000,2020-01-18,2020-01-21
365,2002200,PEMA013132400,7000,1365,9555000,2020-01-18,2020-01-21
